missing_data,right_foot_x_pos,right_foot_y_pos,left_foot_x_pos,left_foot_y_pos,nose_x_pos,nose_y_pos,anomaly
True,,,,,,,True
True,,,,,,,True
True,,,,,,,True
False,0.6282023787498474,0.415208101272583,0.565218985080719,0.38127899169921875,0.3529483675956726,0.5566129684448242,True
False,0.5811602473258972,0.3465062379837036,0.5756256580352783,0.321024090051651,0.3488389849662781,0.578375518321991,True
False,0.612183153629303,0.3412433862686157,0.5217428803443909,0.21459682285785675,0.3406582772731781,0.6132639646530151,True
False,0.5146137475967407,0.1846630722284317,0.5271667242050171,0.2544878125190735,0.3402550220489502,0.6405916213989258,True
False,0.5646827816963196,0.25938960909843445,0.47598591446876526,0.29430025815963745,0.34005069732666016,0.6525807976722717,True
False,0.5324521064758301,0.24538582563400269,0.39148056507110596,0.2445087432861328,0.36154118180274963,0.6387198567390442,True
False,0.49889373779296875,0.23805859684944153,0.3524390459060669,0.1969248652458191,0.38769540190696716,0.632244348526001,True
False,0.43930140137672424,0.3237101435661316,0.3775877356529236,0.2902297079563141,0.39654669165611267,0.6095163822174072,True
False,0.4094155728816986,0.32336992025375366,0.3232497274875641,0.29355454444885254,0.4105468988418579,0.5630826354026794,True
False,0.3735944628715515,0.3251708149909973,0.33839303255081177,0.29713770747184753,0.4185132384300232,0.567314863204956,True
True,,,,,,,True
True,,,,,,,True
True,,,,,,,True
False,0.23639467358589172,0.4057553708553314,0.22284065186977386,0.5117602348327637,0.48580455780029297,0.5069943070411682,True
False,0.2354689985513687,0.4550344944000244,0.21141007542610168,0.5245020985603333,0.482674777507782,0.4876179099082947,True
False,0.23210492730140686,0.5489078760147095,0.2072809785604477,0.6169019341468811,0.46944570541381836,0.43458402156829834,True
False,0.2978605628013611,0.5589483976364136,0.2513018846511841,0.64046311378479,0.47201797366142273,0.4289631247520447,True
False,0.28744956851005554,0.5512029528617859,0.24342486262321472,0.6917067170143127,0.45912545919418335,0.4301377236843109,True
False,0.28957071900367737,0.5839136838912964,0.24717895686626434,0.7367821931838989,0.45391595363616943,0.4174996018409729,True
False,0.29389771819114685,0.5856426954269409,0.2641098201274872,0.7619410157203674,0.4437805116176605,0.43093612790107727,True
False,0.3203966021537781,0.7017742991447449,0.30919012427330017,0.8062265515327454,0.44724512100219727,0.4387311339378357,True
False,0.32814499735832214,0.760790228843689,0.3350176513195038,0.821394145488739,0.44639962911605835,0.44311079382896423,True
False,0.3480844795703888,0.8065679669380188,0.37075483798980713,0.8140227794647217,0.4498591721057892,0.44416195154190063,True
True,,,,,,,True
False,0.3399408459663391,0.8488619923591614,0.424377977848053,0.809268593788147,0.4426065683364868,0.42077726125717163,True
False,0.3575645387172699,0.8652178645133972,0.45834630727767944,0.8431899547576904,0.43745213747024536,0.4255276620388031,True
False,0.3772921860218048,0.8677127361297607,0.47083255648612976,0.8422435522079468,0.4370765686035156,0.4400825500488281,True
False,0.3896903395652771,0.8783373832702637,0.4812241196632385,0.8446651697158813,0.434287428855896,0.4470984935760498,True
False,0.4066067934036255,0.8742434978485107,0.4921375513076782,0.8435527086257935,0.4347776770591736,0.4607929587364197,True
False,0.43025386333465576,0.8205931782722473,0.4954879879951477,0.8401221036911011,0.43205738067626953,0.4709964394569397,True
True,,,,,,,True
True,,,,,,,True
True,,,,,,,True
True,,,,,,,True
